offense_id,occur_date,occur_day,occur_time,beat,zone,ibr_code,uc2_literal,neighborhood,npu,lat,long
210491740,2021-02-18,Thursday,17:00:00,603,6,23H,Larceny Non Vehicle,Old Fourth Ward,M,33.766778,-84.371515
210491741,2021-02-18,Thursday,19:45:00,411,4,23F,Larceny From Vehicle,Greenbriar,R,33.689513,-84.487751
210491776,2021-02-18,Thursday,20:34:00,409,4,23D,Larceny Non Vehicle,Adams Park,R,33.706496,-84.458511
210491836,2021-02-18,Thursday,21:10:00,502,5,240,Auto Theft,Midtown,E,33.788905,-84.388645
210491921,2021-02-18,Thursday,22:37:00,302,3,13A,Agg Assault,Pittsburgh,V,33.731509,-84.405064
210492041,2021-02-18,Thursday,23:57:00,605,6,240,Auto Theft,Oakland,W,33.748067,-84.378832
210500006,2021-02-19,Friday,00:00:00,108,1,23C,Larceny Non Vehicle,Westhaven,I,33.755584,-84.468106
210500038,2021-02-19,Friday,00:19:00,408,4,240,Auto Theft,NA,R,33.709784,-84.442743
210500104,2021-02-19,Friday,00:57:00,401,4,240,Auto Theft,West End,T,33.740879,-84.417052
210500274,2021-02-19,Friday,03:27:00,606,6,23C,Larceny Non Vehicle,Reynoldstown,N,33.752732,-84.349604
210500338,2021-02-18,Thursday,21:05:00,114,1,23F,Larceny From Vehicle,Bankhead/Bolton,H,33.783427,-84.508704
210500366,2021-02-19,Friday,05:30:00,211,2,23F,Larceny From Vehicle,Peachtree Park,B,33.840733,-84.368801
210500379,2021-02-19,Friday,03:20:00,505,5,23F,Larceny From Vehicle,Midtown,E,33.775208,-84.384864
210500390,2021-02-18,Thursday,16:00:00,210,2,23G,Larceny From Vehicle,Buckhead Heights,B,33.849667,-84.357437
210500404,2021-02-19,Friday,06:00:00,211,2,220,Burglary,Lindbergh/Morosgo,B,33.825622,-84.364642
210500418,2021-02-19,Friday,06:00:00,609,6,23F,Larceny From Vehicle,Kirkwood,O,33.755249,-84.333295
210500477,2021-02-19,Friday,03:30:00,501,5,23D,Larceny Non Vehicle,Home Park,E,33.781687,-84.4051
210500584,2021-02-19,Friday,02:00:00,308,3,13A,Agg Assault,Norwood Manor,Z,33.695867,-84.364451
210500609,2021-01-30,Saturday,23:00:00,510,5,23H,Larceny Non Vehicle,Downtown,M,33.755782,-84.381621
